a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,
3300,0.272,0.302,69,153,21,4,31,104,22,80,4,3,1,0,0,0,"""Andre Dawson",""""
2600,0.269,0.335,58,111,17,2,18,66,39,69,0,3,1,1,0,0,"""Steve Buchele",""""
2500,0.249,0.337,54,115,15,1,17,73,63,116,6,5,1,0,0,0,"""Kal Daniels",""""
2475,0.26,0.292,59,128,22,7,12,50,23,64,21,21,0,0,1,0,"""Shawon Dunston",""""
2313,0.273,0.346,87,169,28,5,8,58,70,53,3,8,0,0,1,0,"""Mark Grace",""""
2175,0.291,0.379,104,170,32,2,26,100,87,89,22,4,1,0,0,0,"""Ryne Sandberg",""""
600,0.258,0.37,34,86,14,1,14,38,15,45,0,10,1,0,0,0,"""Luis Salazar",""""
460,0.228,0.279,16,38,7,2,3,21,11,32,2,3,0,0,0,0,"""Dwight Smith",""""
240,0.25,0.327,40,61,11,0,1,18,24,26,14,2,0,0,0,0,"""Doug Dascenzo",""""
200,0.203,0.24,39,64,10,1,10,33,14,96,13,6,0,0,0,0,"""Sammy Sosa",""""
177,0.262,0.283,7,38,5,0,0,10,5,18,2,7,0,0,0,0,"""Jose Vizcaino",""""
140,0.222,0.307,21,45,9,0,6,22,19,56,3,3,0,0,0,0,"""Rick Wilkins",""""
117,0.227,0.28,4,5,2,0,1,3,2,1,0,0,0,0,0,0,"""Derrick May",""""
115,0.261,0.37,1,6,0,0,0,2,4,3,0,0,0,0,0,0,"""Rey Sanchez",""""
2600,0.3,0.368,69,141,22,3,19,75,53,64,31,7,1,0,0,0,"""Ivan Calderon",""""
1907,0.225,0.292,60,130,22,1,13,73,50,100,2,14,1,0,0,0,"""Tim Wallach",""""
1190,0.255,0.321,39,108,22,8,3,26,42,61,2,8,0,0,1,0,"""Spike Owen",""""
990,0.29,0.349,59,141,30,2,16,64,42,102,14,6,1,0,0,0,"""Larry Walker",""""
925,0.246,0.323,22,81,14,0,6,26,22,26,2,5,1,0,0,0,"""Gary Carter",""""
365,0.208,0.265,12,35,11,1,0,15,14,30,2,6,0,0,0,0,"""Tom Foley",""""
302,0.238,0.347,83,134,15,4,10,51,95,151,56,27,0,0,0,0,"""Delino DeShields",""""
300,0.267,0.31,73,149,23,9,6,39,34,89,76,6,0,0,0,0,"""Marquis Grissom",""""
129,0.353,0.435,16,48,12,2,2,18,20,22,0,5,0,0,0,0,"""Bret Barberie",""""
111,0.213,0.222,4,13,4,1,1,8,1,18,0,0,0,0,0,0,"""John VanderWal",""""
6100,0.302,0.391,102,174,44,6,18,100,90,67,2,15,1,1,0,0,"""Bobby Bonilla",""""
4125,0.26,0.321,69,150,23,1,19,96,55,74,10,7,1,1,0,0,"""Eddie Murray",""""
3213,0.255,0.347,45,71,7,5,1,17,39,47,37,3,1,0,0,0,"""Vince Coleman",""""
2319,0.259,0.349,108,146,34,4,38,117,78,120,30,31,1,0,0,0,"""Howard Johnson",""""
2000,0.223,0.307,43,84,10,4,10,40,36,56,7,4,1,0,0,0,"""Kevin Bass",""""
1600,0.225,0.31,44,96,9,3,0,31,50,69,8,15,1,1,0,0,"""Dick Schofield",""""
1394,0.258,0.381,58,108,23,0,4,51,83,50,1,5,1,0,0,0,"""Dave Magadan",""""
935,0.275,0.351,40,70,16,4,4,21,30,42,15,3,1,1,0,0,"""Daryl Boston",""""
850,0.327,0.424,60,141,14,3,0,54,75,38,4,20,1,1,0,0,"""Willie Randolph",""""
775,0.272,0.3,18,62,14,2,5,35,9,19,0,3,0,0,1,0,"""Mackey Sasser",""""
760,0.241,0.32,33,84,16,2,6,36,40,53,2,14,0,0,1,1,"""Kevin Elster",""""
629,0.293,0.355,32,79,17,0,1,30,24,43,2,0,0,0,0,0,"""Dave Gallagher",""""
275,0.257,0.315,51,96,10,1,6,34,33,57,13,8,0,0,0,0,"""Chico Walker",""""
120,0.225,0.33,7,20,2,0,0,5,14,19,1,2,0,0,0,0,"""Chris Donnels",""""
2567,0.196,0.297,36,56,12,0,12,42,41,66,5,8,0,0,1,0,"""Darren Daulton",""""
2500,0.252,0.309,66,137,33,1,28,81,48,93,1,5,1,0,0,0,"""Dale Murphy",""""
2350,0.294,0.367,84,158,27,6,21,92,67,100,7,3,1,0,0,0,"""John Kruk",""""
2317,0.297,0.391,48,73,13,5,3,12,37,20,24,4,1,0,0,0,"""Lenny Dykstra",""""
